"Department"	"Vote"	"App id"	"MCOA id"	"Description"	"Appropriation Type"	"Output Expense Type"	"Functional Classification"	"Amount ($000)"	"Year"	"Amount_Type_Desc"	"Periodicity"
"Ministry of Defence"	"Defence"	189	189	"Defence Equipment"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	279,757	2008	"Actuals"	"A"
"Ministry of Defence"	"Defence"	189	189	"Defence Equipment"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	144,949	2009	"Actuals"	"A"
"Ministry of Defence"	"Defence"	189	189	"Defence Equipment"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	172,012	2010	"Actuals"	"A"
"Ministry of Defence"	"Defence"	189	189	"Defence Equipment"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	171,559	2011	"Estimated Actual"	"A"
"Ministry of Defence"	"Defence"	189	189	"Defence Equipment"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	244,284	2012	"Main Estimates"	"A"
"Ministry of Defence"	"Defence"	9208	9208	"Ministry of Defence - Capital Expenditure"	"Departmental Capital Expenditure"	"Permanent Legislative Authority"	"No Functional Classification"	238	2008	"Actuals"	"A"
"Ministry of Defence"	"Defence"	9208	9208	"Ministry of Defence - Capital Expenditure"	"Departmental Capital Expenditure"	"Permanent Legislative Authority"	"No Functional Classification"	315	2011	"Estimated Actual"	"A"
"Ministry of Defence"	"Defence"	9208	9208	"Ministry of Defence - Capital Expenditure"	"Departmental Capital Expenditure"	"Permanent Legislative Authority"	"No Functional Classification"	285	2012	"Main Estimates"	"A"
"New Zealand Defence Force"	"Defence Force"	3690	3690	"Military Policy Development, Coordination and Advice"	"Departmental Output Expenses"		"Defence"	11,521	2007	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	3690	3690	"Military Policy Development, Coordination and Advice"	"Departmental Output Expenses"		"Defence"	10,388	2008	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	3690	3690	"Military Policy Development, Coordination and Advice"	"Departmental Output Expenses"		"Defence"	13,517	2009	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	3690	3690	"Military Policy Development, Coordination and Advice"	"Departmental Output Expenses"		"Defence"	14,348	2010	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	3690	3690	"Military Policy Development, Coordination and Advice"	"Departmental Output Expenses"		"Defence"	15,795	2011	"Estimated Actual"	"A"
"New Zealand Defence Force"	"Defence Force"	3690	3690	"Military Policy Development, Coordination and Advice"	"Departmental Output Expenses"		"Defence"	17,181	2012	"Main Estimates"	"A"
"New Zealand Defence Force"	"Defence Force"	3691	3691	"Naval Combat Forces"	"Departmental Output Expenses"		"Defence"	418,264	2007	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	3691	3691	"Naval Combat Forces"	"Departmental Output Expenses"		"Defence"	385,932	2008	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	3691	3691	"Naval Combat Forces"	"Departmental Output Expenses"		"Defence"	400,731	2009	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	3691	3691	"Naval Combat Forces"	"Departmental Output Expenses"		"Defence"	397,562	2010	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	3691	3691	"Naval Combat Forces"	"Departmental Output Expenses"		"Defence"	402,504	2011	"Estimated Actual"	"A"
"New Zealand Defence Force"	"Defence Force"	3691	3691	"Naval Combat Forces"	"Departmental Output Expenses"		"Defence"	408,199	2012	"Main Estimates"	"A"
"New Zealand Defence Force"	"Defence Force"	3692	3692	"Naval Support Forces"	"Departmental Output Expenses"		"Defence"	69,619	2007	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	3692	3692	"Naval Support Forces"	"Departmental Output Expenses"		"Defence"	90,365	2008	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	3692	3692	"Naval Support Forces"	"Departmental Output Expenses"		"Defence"	103,307	2009	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	3692	3692	"Naval Support Forces"	"Departmental Output Expenses"		"Defence"	106,666	2010	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	3692	3692	"Naval Support Forces"	"Departmental Output Expenses"		"Defence"	104,849	2011	"Estimated Actual"	"A"
"New Zealand Defence Force"	"Defence Force"	3692	3692	"Naval Support Forces"	"Departmental Output Expenses"		"Defence"	105,803	2012	"Main Estimates"	"A"
"New Zealand Defence Force"	"Defence Force"	3693	3693	"Mine Countermeasures (MCM) and MCM Diving Forces"	"Departmental Output Expenses"		"Defence"	33,802	2007	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	3693	3693	"Mine Countermeasures (MCM) and MCM Diving Forces"	"Departmental Output Expenses"		"Defence"	26,582	2008	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	3693	3693	"Mine Countermeasures (MCM) and MCM Diving Forces"	"Departmental Output Expenses"		"Defence"	27,917	2009	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	3693	3693	"Mine Countermeasures (MCM) and MCM Diving Forces"	"Departmental Output Expenses"		"Defence"	26,106	2010	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	3693	3693	"Mine Countermeasures (MCM) and MCM Diving Forces"	"Departmental Output Expenses"		"Defence"	24,592	2011	"Estimated Actual"	"A"
"New Zealand Defence Force"	"Defence Force"	3693	3693	"Mine Countermeasures (MCM) and MCM Diving Forces"	"Departmental Output Expenses"		"Defence"	25,075	2012	"Main Estimates"	"A"
"New Zealand Defence Force"	"Defence Force"	3695	3695	"Military Hydrography, and Hydrographic Data Collection and Processing for LINZ"	"Departmental Output Expenses"		"Defence"	12,456	2007	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	3695	3695	"Military Hydrography, and Hydrographic Data Collection and Processing for LINZ"	"Departmental Output Expenses"		"Defence"	15,007	2008	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	3695	3695	"Military Hydrography, and Hydrographic Data Collection and Processing for LINZ"	"Departmental Output Expenses"		"Defence"	16,473	2009	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	3695	3695	"Military Hydrography, and Hydrographic Data Collection and Processing for LINZ"	"Departmental Output Expenses"		"Defence"	16,563	2010	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	3695	3695	"Military Hydrography, and Hydrographic Data Collection and Processing for LINZ"	"Departmental Output Expenses"		"Defence"	15,384	2011	"Estimated Actual"	"A"
"New Zealand Defence Force"	"Defence Force"	3695	3695	"Military Hydrography, and Hydrographic Data Collection and Processing for LINZ"	"Departmental Output Expenses"		"Defence"	13,863	2012	"Main Estimates"	"A"
"New Zealand Defence Force"	"Defence Force"	3699	3699	"Special Operations Forces"	"Departmental Output Expenses"		"Defence"	48,145	2007	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	3699	3699	"Special Operations Forces"	"Departmental Output Expenses"		"Defence"	52,037	2008	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	3699	3699	"Special Operations Forces"	"Departmental Output Expenses"		"Defence"	60,829	2009	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	3699	3699	"Special Operations Forces"	"Departmental Output Expenses"		"Defence"	67,101	2010	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	3699	3699	"Special Operations Forces"	"Departmental Output Expenses"		"Defence"	73,630	2011	"Estimated Actual"	"A"
"New Zealand Defence Force"	"Defence Force"	3699	3699	"Special Operations Forces"	"Departmental Output Expenses"		"Defence"	74,915	2012	"Main Estimates"	"A"
"New Zealand Defence Force"	"Defence Force"	3701	3701	"Airborne Surveillance and Response Forces"	"Departmental Output Expenses"		"Defence"	159,998	2007	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	3701	3701	"Airborne Surveillance and Response Forces"	"Departmental Output Expenses"		"Defence"	147,284	2008	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	3701	3701	"Airborne Surveillance and Response Forces"	"Departmental Output Expenses"		"Defence"	167,563	2009	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	3701	3701	"Airborne Surveillance and Response Forces"	"Departmental Output Expenses"		"Defence"	167,733	2010	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	3701	3701	"Airborne Surveillance and Response Forces"	"Departmental Output Expenses"		"Defence"	165,650	2011	"Estimated Actual"	"A"
"New Zealand Defence Force"	"Defence Force"	3701	3701	"Airborne Surveillance and Response Forces"	"Departmental Output Expenses"		"Defence"	176,704	2012	"Main Estimates"	"A"
"New Zealand Defence Force"	"Defence Force"	3702	3702	"Fixed Wing Transport Forces"	"Departmental Output Expenses"		"Defence"	175,188	2007	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	3702	3702	"Fixed Wing Transport Forces"	"Departmental Output Expenses"		"Defence"	175,356	2008	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	3702	3702	"Fixed Wing Transport Forces"	"Departmental Output Expenses"		"Defence"	212,807	2009	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	3702	3702	"Fixed Wing Transport Forces"	"Departmental Output Expenses"		"Defence"	233,023	2010	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	3702	3702	"Fixed Wing Transport Forces"	"Departmental Output Expenses"		"Defence"	248,843	2011	"Estimated Actual"	"A"
"New Zealand Defence Force"	"Defence Force"	3702	3702	"Fixed Wing Transport Forces"	"Departmental Output Expenses"		"Defence"	261,010	2012	"Main Estimates"	"A"
"New Zealand Defence Force"	"Defence Force"	3703	3703	"Rotary Wing Transport Forces"	"Departmental Output Expenses"		"Defence"	108,053	2007	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	3703	3703	"Rotary Wing Transport Forces"	"Departmental Output Expenses"		"Defence"	118,611	2008	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	3703	3703	"Rotary Wing Transport Forces"	"Departmental Output Expenses"		"Defence"	128,865	2009	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	3703	3703	"Rotary Wing Transport Forces"	"Departmental Output Expenses"		"Defence"	126,220	2010	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	3703	3703	"Rotary Wing Transport Forces"	"Departmental Output Expenses"		"Defence"	123,025	2011	"Estimated Actual"	"A"
"New Zealand Defence Force"	"Defence Force"	3703	3703	"Rotary Wing Transport Forces"	"Departmental Output Expenses"		"Defence"	143,595	2012	"Main Estimates"	"A"
"New Zealand Defence Force"	"Defence Force"	3704	3704	"Miscellaneous Support Activities"	"Departmental Output Expenses"		"Defence"	13,722	2007	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	3704	3704	"Miscellaneous Support Activities"	"Departmental Output Expenses"		"Defence"	14,120	2008	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	3705	3705	"Operationally Deployed Forces Annual"	"Departmental Output Expenses"		"Defence"	77,492	2009	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	3705	3705	"Operationally Deployed Forces Annual"	"Departmental Output Expenses"		"Defence"	77,763	2010	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	3705	3705	"Operationally Deployed Forces Annual"	"Departmental Output Expenses"		"Defence"	78,295	2011	"Estimated Actual"	"A"
"New Zealand Defence Force"	"Defence Force"	3705	3705	"Operationally Deployed Forces Annual"	"Departmental Output Expenses"		"Defence"	70,541	2012	"Main Estimates"	"A"
"New Zealand Defence Force"	"Defence Force"	5874	5874	"Land Combat Forces"	"Departmental Output Expenses"		"Defence"	301,107	2007	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	5874	5874	"Land Combat Forces"	"Departmental Output Expenses"		"Defence"	328,980	2008	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	5874	5874	"Land Combat Forces"	"Departmental Output Expenses"		"Defence"	360,463	2009	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	5874	5874	"Land Combat Forces"	"Departmental Output Expenses"		"Defence"	378,890	2010	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	5874	5874	"Land Combat Forces"	"Departmental Output Expenses"		"Defence"	389,889	2011	"Estimated Actual"	"A"
"New Zealand Defence Force"	"Defence Force"	5874	5874	"Land Combat Forces"	"Departmental Output Expenses"		"Defence"	384,233	2012	"Main Estimates"	"A"
"New Zealand Defence Force"	"Defence Force"	5875	5875	"Land Combat Support Forces"	"Departmental Output Expenses"		"Defence"	192,184	2007	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	5875	5875	"Land Combat Support Forces"	"Departmental Output Expenses"		"Defence"	173,851	2008	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	5875	5875	"Land Combat Support Forces"	"Departmental Output Expenses"		"Defence"	199,245	2009	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	5875	5875	"Land Combat Support Forces"	"Departmental Output Expenses"		"Defence"	204,877	2010	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	5875	5875	"Land Combat Support Forces"	"Departmental Output Expenses"		"Defence"	211,712	2011	"Estimated Actual"	"A"
"New Zealand Defence Force"	"Defence Force"	5875	5875	"Land Combat Support Forces"	"Departmental Output Expenses"		"Defence"	215,292	2012	"Main Estimates"	"A"
"New Zealand Defence Force"	"Defence Force"	5876	5876	"Land Combat Service Support Forces"	"Departmental Output Expenses"		"Defence"	122,380	2007	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	5876	5876	"Land Combat Service Support Forces"	"Departmental Output Expenses"		"Defence"	137,808	2008	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	5876	5876	"Land Combat Service Support Forces"	"Departmental Output Expenses"		"Defence"	151,788	2009	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	5876	5876	"Land Combat Service Support Forces"	"Departmental Output Expenses"		"Defence"	152,952	2010	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	5876	5876	"Land Combat Service Support Forces"	"Departmental Output Expenses"		"Defence"	154,137	2011	"Estimated Actual"	"A"
"New Zealand Defence Force"	"Defence Force"	5876	5876	"Land Combat Service Support Forces"	"Departmental Output Expenses"		"Defence"	158,141	2012	"Main Estimates"	"A"
"New Zealand Defence Force"	"Defence Force"	8770	8770	"Naval Patrol Forces"	"Departmental Output Expenses"		"Defence"	26,679	2007	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	8770	8770	"Naval Patrol Forces"	"Departmental Output Expenses"		"Defence"	58,214	2008	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	8770	8770	"Naval Patrol Forces"	"Departmental Output Expenses"		"Defence"	79,912	2009	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	8770	8770	"Naval Patrol Forces"	"Departmental Output Expenses"		"Defence"	99,884	2010	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	8770	8770	"Naval Patrol Forces"	"Departmental Output Expenses"		"Defence"	125,523	2011	"Estimated Actual"	"A"
"New Zealand Defence Force"	"Defence Force"	8770	8770	"Naval Patrol Forces"	"Departmental Output Expenses"		"Defence"	139,840	2012	"Main Estimates"	"A"
"New Zealand Defence Force"	"Defence Force"	8813	8813	"Operationally Deployed Forces"	"Departmental Output Expenses"		"Defence"	37,048	2007	"Actuals"	"M"
"New Zealand Defence Force"	"Defence Force"	8813	8813	"Operationally Deployed Forces"	"Departmental Output Expenses"		"Defence"	66,333	2008	"Actuals"	"M"
"New Zealand Defence Force"	"Defence Force"	8903	8903	"Naval Helicopter Forces"	"Departmental Output Expenses"		"Defence"	84,532	2007	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	8903	8903	"Naval Helicopter Forces"	"Departmental Output Expenses"		"Defence"	78,568	2008	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	8903	8903	"Naval Helicopter Forces"	"Departmental Output Expenses"		"Defence"	84,214	2009	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	8903	8903	"Naval Helicopter Forces"	"Departmental Output Expenses"		"Defence"	83,379	2010	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	8903	8903	"Naval Helicopter Forces"	"Departmental Output Expenses"		"Defence"	89,745	2011	"Estimated Actual"	"A"
"New Zealand Defence Force"	"Defence Force"	8903	8903	"Naval Helicopter Forces"	"Departmental Output Expenses"		"Defence"	88,748	2012	"Main Estimates"	"A"
"New Zealand Defence Force"	"Defence Force"	9180	9178	"Support to New Zealand Cadet Forces"	"Departmental Output Expenses"		"Defence"	3,177	2009	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	9179	9178	"Support to Mutual Assistance Programme (MAP)"	"Departmental Output Expenses"		"Defence"	1,668	2009	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	9182	9178	"Support to Service Military Museums"	"Departmental Output Expenses"		"Defence"	7,364	2009	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	9181	9178	"Support to Limited Service Volunteer Scheme"	"Departmental Output Expenses"		"Defence"	3,969	2009	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	9179	9178	"Support to Mutual Assistance Programme (MAP)"	"Departmental Output Expenses"		"Defence"	1,942	2010	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	9182	9178	"Support to Service Military Museums"	"Departmental Output Expenses"		"Defence"	7,240	2010	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	9180	9178	"Support to New Zealand Cadet Forces"	"Departmental Output Expenses"		"Defence"	3,458	2010	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	9181	9178	"Support to Limited Service Volunteer Scheme"	"Departmental Output Expenses"		"Defence"	1,691	2010	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	9614	9178	"Support to Youth Development"	"Departmental Output Expenses"		"Defence"	7,017	2010	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	9180	9178	"Support to New Zealand Cadet Forces"	"Departmental Output Expenses"		"Defence"	3,555	2011	"Estimated Actual"	"A"
"New Zealand Defence Force"	"Defence Force"	9614	9178	"Support to Youth Development"	"Departmental Output Expenses"		"Defence"	14,171	2011	"Estimated Actual"	"A"
"New Zealand Defence Force"	"Defence Force"	9179	9178	"Support to Mutual Assistance Programme (MAP)"	"Departmental Output Expenses"		"Defence"	2,810	2011	"Estimated Actual"	"A"
"New Zealand Defence Force"	"Defence Force"	9182	9178	"Support to Service Military Museums"	"Departmental Output Expenses"		"Defence"	6,198	2011	"Estimated Actual"	"A"
"New Zealand Defence Force"	"Defence Force"	9180	9178	"Support to New Zealand Cadet Forces"	"Departmental Output Expenses"		"Defence"	3,559	2012	"Main Estimates"	"A"
"New Zealand Defence Force"	"Defence Force"	9614	9178	"Support to Youth Development"	"Departmental Output Expenses"		"Defence"	12,444	2012	"Main Estimates"	"A"
"New Zealand Defence Force"	"Defence Force"	9179	9178	"Support to Mutual Assistance Programme (MAP)"	"Departmental Output Expenses"		"Defence"	2,790	2012	"Main Estimates"	"A"
"New Zealand Defence Force"	"Defence Force"	9182	9178	"Support to Service Military Museums"	"Departmental Output Expenses"		"Defence"	6,454	2012	"Main Estimates"	"A"
"New Zealand Defence Force"	"Defence Force"	7909	7909	"Loss on Sale of Physical Assets"	"Departmental Other Expenses"		"Defence"	337	2009	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	7910	7910	"Revaluation Losses"	"Departmental Other Expenses"		"Defence"	70,513	2010	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	7912	7912	"Asset Write-Offs"	"Departmental Other Expenses"		"Defence"	2,485	2010	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	7919	7919	"Maintenance of Assets Awaiting Sale"	"Departmental Other Expenses"		"No Functional Classification"	2,750	2011	"Estimated Actual"	"A"
"New Zealand Defence Force"	"Defence Force"	7919	7919	"Maintenance of Assets Awaiting Sale"	"Departmental Other Expenses"		"No Functional Classification"	2,250	2012	"Main Estimates"	"A"
"New Zealand Defence Force"	"Defence Force"	10145	10145	"Disposal of Decommissioned Assets"	"Departmental Other Expenses"		"No Functional Classification"	500	2011	"Estimated Actual"	"A"
"New Zealand Defence Force"	"Defence Force"	10145	10145	"Disposal of Decommissioned Assets"	"Departmental Other Expenses"		"No Functional Classification"	500	2012	"Main Estimates"	"A"
"New Zealand Defence Force"	"Defence Force"	9209	9209	"New Zealand Defence Force - Capital Expenditure"	"Departmental Capital Expenditure"	"Permanent Legislative Authority"	"No Functional Classification"	356,586	2008	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	9209	9209	"New Zealand Defence Force - Capital Expenditure"	"Departmental Capital Expenditure"	"Permanent Legislative Authority"	"No Functional Classification"	365,530	2009	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	9209	9209	"New Zealand Defence Force - Capital Expenditure"	"Departmental Capital Expenditure"	"Permanent Legislative Authority"	"No Functional Classification"	326,752	2010	"Actuals"	"A"
"New Zealand Defence Force"	"Defence Force"	9209	9209	"New Zealand Defence Force - Capital Expenditure"	"Departmental Capital Expenditure"	"Permanent Legislative Authority"	"No Functional Classification"	400,000	2011	"Estimated Actual"	"A"
"New Zealand Defence Force"	"Defence Force"	9209	9209	"New Zealand Defence Force - Capital Expenditure"	"Departmental Capital Expenditure"	"Permanent Legislative Authority"	"No Functional Classification"	600,000	2012	"Main Estimates"	"A"
"New Zealand Defence Force"	"Veterans' Affairs - Defence Force"	5633	5633	"Policy and Administration"	"Departmental Output Expenses"		"Social Security and Welfare"	2,813	2007	"Actuals"	"A"
"New Zealand Defence Force"	"Veterans' Affairs - Defence Force"	5633	5633	"Policy and Administration"	"Departmental Output Expenses"		"Social Security and Welfare"	3,182	2008	"Actuals"	"A"
"New Zealand Defence Force"	"Veterans' Affairs - Defence Force"	5633	5633	"Policy and Administration"	"Departmental Output Expenses"		"Social Security and Welfare"	1,859	2009	"Actuals"	"A"
"New Zealand Defence Force"	"Veterans' Affairs - Defence Force"	5633	5633	"Policy and Administration"	"Departmental Output Expenses"		"Social Security and Welfare"	2,345	2010	"Actuals"	"A"
"New Zealand Defence Force"	"Veterans' Affairs - Defence Force"	5633	5633	"Policy and Administration"	"Departmental Output Expenses"		"Social Security and Welfare"	2,450	2011	"Estimated Actual"	"A"
"New Zealand Defence Force"	"Veterans' Affairs - Defence Force"	5633	5633	"Policy and Administration"	"Departmental Output Expenses"		"Social Security and Welfare"	2,153	2012	"Main Estimates"	"A"
"New Zealand Defence Force"	"Veterans' Affairs - Defence Force"	8512	8512	"Services to Veterans"	"Departmental Output Expenses"		"Social Security and Welfare"	2,224	2007	"Actuals"	"A"
"New Zealand Defence Force"	"Veterans' Affairs - Defence Force"	8512	8512	"Services to Veterans"	"Departmental Output Expenses"		"Social Security and Welfare"	2,399	2008	"Actuals"	"A"
"New Zealand Defence Force"	"Veterans' Affairs - Defence Force"	9380	9380	"Services and Payments to Veterans"	"Departmental Output Expenses"		"Defence"	5,052	2009	"Actuals"	"A"
"New Zealand Defence Force"	"Veterans' Affairs - Defence Force"	9380	9380	"Services and Payments to Veterans"	"Departmental Output Expenses"		"Defence"	5,691	2010	"Actuals"	"A"
"New Zealand Defence Force"	"Veterans' Affairs - Defence Force"	9380	9380	"Services and Payments to Veterans"	"Departmental Output Expenses"		"Defence"	5,994	2011	"Estimated Actual"	"A"
"New Zealand Defence Force"	"Veterans' Affairs - Defence Force"	9380	9380	"Services and Payments to Veterans"	"Departmental Output Expenses"		"Defence"	5,977	2012	"Main Estimates"	"A"
"New Zealand Defence Force"	"Veterans' Affairs - Defence Force"	5634	5634	"Development and Maintenance of Services Cemeteries"	"Non-Departmental Output Expenses"		"Defence"	725	2007	"Actuals"	"A"
"New Zealand Defence Force"	"Veterans' Affairs - Defence Force"	5634	5634	"Development and Maintenance of Services Cemeteries"	"Non-Departmental Output Expenses"		"Defence"	745	2008	"Actuals"	"A"
"New Zealand Defence Force"	"Veterans' Affairs - Defence Force"	5634	5634	"Development and Maintenance of Services Cemeteries"	"Non-Departmental Output Expenses"		"Defence"	605	2009	"Actuals"	"A"
"New Zealand Defence Force"	"Veterans' Affairs - Defence Force"	5634	5634	"Development and Maintenance of Services Cemeteries"	"Non-Departmental Output Expenses"		"Defence"	720	2010	"Actuals"	"A"
"New Zealand Defence Force"	"Veterans' Affairs - Defence Force"	5634	5634	"Development and Maintenance of Services Cemeteries"	"Non-Departmental Output Expenses"		"Defence"	746	2011	"Estimated Actual"	"A"
"New Zealand Defence Force"	"Veterans' Affairs - Defence Force"	5634	5634	"Development and Maintenance of Services Cemeteries"	"Non-Departmental Output Expenses"		"Defence"	746	2012	"Main Estimates"	"A"
"New Zealand Defence Force"	"Veterans' Affairs - Defence Force"	8513	8513	"Support for Veterans and Their Families"	"Non-Departmental Output Expenses"		"Social Security and Welfare"	665	2007	"Actuals"	"A"
"New Zealand Defence Force"	"Veterans' Affairs - Defence Force"	8513	8513	"Support for Veterans and Their Families"	"Non-Departmental Output Expenses"		"Social Security and Welfare"	964	2008	"Actuals"	"A"
"New Zealand Defence Force"	"Veterans' Affairs - Defence Force"	8513	8513	"Support for Veterans and Their Families"	"Non-Departmental Output Expenses"		"Social Security and Welfare"	1,544	2009	"Actuals"	"A"
"New Zealand Defence Force"	"Veterans' Affairs - Defence Force"	8513	8513	"Support for Veterans and Their Families"	"Non-Departmental Output Expenses"		"Social Security and Welfare"	1,723	2010	"Actuals"	"A"
"New Zealand Defence Force"	"Veterans' Affairs - Defence Force"	8513	8513	"Support for Veterans and Their Families"	"Non-Departmental Output Expenses"		"Social Security and Welfare"	1,977	2011	"Estimated Actual"	"A"
"New Zealand Defence Force"	"Veterans' Affairs - Defence Force"	8513	8513	"Support for Veterans and Their Families"	"Non-Departmental Output Expenses"		"Social Security and Welfare"	1,277	2012	"Main Estimates"	"A"
"New Zealand Defence Force"	"Veterans' Affairs - Defence Force"	9377	9377	"Interest Concessions Land and Buildings"	"Benefits and Other Unrequited Expenses"		"Defence"	37	2009	"Actuals"	"A"
"New Zealand Defence Force"	"Veterans' Affairs - Defence Force"	9377	9377	"Interest Concessions Land and Buildings"	"Benefits and Other Unrequited Expenses"		"Defence"	14	2010	"Actuals"	"A"
"New Zealand Defence Force"	"Veterans' Affairs - Defence Force"	9377	9377	"Interest Concessions Land and Buildings"	"Benefits and Other Unrequited Expenses"		"Defence"	10	2011	"Estimated Actual"	"A"
"New Zealand Defence Force"	"Veterans' Affairs - Defence Force"	9377	9377	"Interest Concessions Land and Buildings"	"Benefits and Other Unrequited Expenses"		"Defence"	7	2012	"Main Estimates"	"A"
"New Zealand Defence Force"	"Veterans' Affairs - Defence Force"	9378	9378	"Medical Treatment"	"Benefits and Other Unrequited Expenses"		"Health"	19,181	2009	"Actuals"	"A"
"New Zealand Defence Force"	"Veterans' Affairs - Defence Force"	9378	9378	"Medical Treatment"	"Benefits and Other Unrequited Expenses"		"Health"	21,307	2010	"Actuals"	"A"
"New Zealand Defence Force"	"Veterans' Affairs - Defence Force"	9378	9378	"Medical Treatment"	"Benefits and Other Unrequited Expenses"		"Health"	20,633	2011	"Estimated Actual"	"A"
"New Zealand Defence Force"	"Veterans' Affairs - Defence Force"	9378	9378	"Medical Treatment"	"Benefits and Other Unrequited Expenses"		"Health"	22,723	2012	"Main Estimates"	"A"
"New Zealand Defence Force"	"Veterans' Affairs - Defence Force"	9379	9379	"War Disablement Pensions"	"Benefits and Other Unrequited Expenses"		"Social Security and Welfare"	124,956	2009	"Actuals"	"A"
"New Zealand Defence Force"	"Veterans' Affairs - Defence Force"	9379	9379	"War Disablement Pensions"	"Benefits and Other Unrequited Expenses"		"Social Security and Welfare"	137,193	2010	"Actuals"	"A"
