"Department"	"Vote"	"App id"	"MCOA id"	"Description"	"Appropriation Type"	"Output Expense Type"	"Functional Classification"	"Amount ($000)"	"Year"	"Amount_Type_Desc"	"Periodicity"	"Curr_Mains_Scope"
"Ministry of Education "	"Education"	5909	5909	"Adult and Community Education"	"Non-Departmental Other Expenses"		"Education"	44756	2007	"Actuals"	"A"	"This appropriation is limited to providing funding for delivery of community and adult education courses including literacy and English for speakers of other languages training through tertiary education institutions, schools and other agencies."
"Ministry of Education "	"Education"	5909	5909	"Adult and Community Education"	"Non-Departmental Other Expenses"		"Education"	40310	2008	"Actuals"	"A"	"This appropriation is limited to providing funding for delivery of community and adult education courses including literacy and English for speakers of other languages training through tertiary education institutions, schools and other agencies."
"Ministry of Education "	"Education"	5909	5909	"Adult and Community Education"	"Non-Departmental Other Expenses"		"Education"	76406	2009	"Actuals"	"A"	"This appropriation is limited to providing funding for delivery of community and adult education courses including literacy and English for speakers of other languages training through tertiary education institutions, schools and other agencies."
"Ministry of Education "	"Education"	5909	5909	"Adult and Community Education"	"Non-Departmental Other Expenses"		"Education"	79431	2010	"Actuals"	"A"	"This appropriation is limited to providing funding for delivery of community and adult education courses including literacy and English for speakers of other languages training through tertiary education institutions, schools and other agencies."
"Ministry of Education "	"Education"	5909	5909	"Adult and Community Education"	"Non-Departmental Other Expenses"		"Education"	69071	2011	"Estimated Actual"	"A"	"This appropriation is limited to providing funding for delivery of community and adult education courses including literacy and English for speakers of other languages training through tertiary education institutions, schools and other agencies."
"Ministry of Education "	"Education"	7618	7618	"Schooling Improvement"	"Non-Departmental Other Expenses"		"Education"	9719	2007	"Actuals"	"A"	"School support and schooling improvement projects to improve the capability of schools and school clusters and their responsiveness to the needs of their communities.  These include iwi-strengthening education projects."
"Ministry of Education "	"Education"	7618	7618	"Schooling Improvement"	"Non-Departmental Other Expenses"		"Education"	11837	2008	"Actuals"	"A"	"School support and schooling improvement projects to improve the capability of schools and school clusters and their responsiveness to the needs of their communities.  These include iwi-strengthening education projects."
"Ministry of Education "	"Education"	7618	7618	"Schooling Improvement"	"Non-Departmental Other Expenses"		"Education"	11108	2009	"Actuals"	"A"	"School support and schooling improvement projects to improve the capability of schools and school clusters and their responsiveness to the needs of their communities.  These include iwi-strengthening education projects."
"Ministry of Education "	"Education"	7618	7618	"Schooling Improvement"	"Non-Departmental Other Expenses"		"Education"	10627	2010	"Actuals"	"A"	"School support and schooling improvement projects to improve the capability of schools and school clusters and their responsiveness to the needs of their communities.  These include iwi-strengthening education projects."
"Ministry of Education "	"Education"	7618	7618	"Schooling Improvement"	"Non-Departmental Other Expenses"		"Education"	9263	2011	"Estimated Actual"	"A"	"School support and schooling improvement projects to improve the capability of schools and school clusters and their responsiveness to the needs of their communities.  These include iwi-strengthening education projects."
"Ministry of Education "	"Education"	7618	7618	"Schooling Improvement"	"Non-Departmental Other Expenses"		"Education"	8964	2012	"Main Estimates"	"A"	"School support and schooling improvement projects to improve the capability of schools and school clusters and their responsiveness to the needs of their communities.  These include iwi-strengthening education projects."
"Ministry of Education "	"Education"	7680	7680	"New Zealand Teachers Council"	"Non-Departmental Other Expenses"		"Education"	178	2007	"Actuals"	"A"	"Operating grant to assist the Teachers Council to carry out its leadership function."
"Ministry of Education "	"Education"	7680	7680	"New Zealand Teachers Council"	"Non-Departmental Other Expenses"		"Education"	178	2008	"Actuals"	"A"	"Operating grant to assist the Teachers Council to carry out its leadership function."
"Ministry of Education "	"Education"	7680	7680	"New Zealand Teachers Council"	"Non-Departmental Other Expenses"		"Education"	178	2009	"Actuals"	"A"	"Operating grant to assist the Teachers Council to carry out its leadership function."
"Ministry of Education "	"Education"	7680	7680	"New Zealand Teachers Council"	"Non-Departmental Other Expenses"		"Education"	178	2010	"Actuals"	"A"	"Operating grant to assist the Teachers Council to carry out its leadership function."
"Ministry of Education "	"Education"	7680	7680	"New Zealand Teachers Council"	"Non-Departmental Other Expenses"		"Education"	178	2011	"Estimated Actual"	"A"	"Operating grant to assist the Teachers Council to carry out its leadership function."
"Ministry of Education "	"Education"	7680	7680	"New Zealand Teachers Council"	"Non-Departmental Other Expenses"		"Education"	178	2012	"Main Estimates"	"A"	"Operating grant to assist the Teachers Council to carry out its leadership function."
"Ministry of Education "	"Education"	7757	7757	"Capability Development Funds"	"Non-Departmental Other Expenses"		"Education"	18447	2007	"Actuals"	"A"	"Assistance to Tertiary Education Organisations and others to develop their capability to contribute to the goals of the Tertiary Education Strategy and adapt to the changing environment - enhancing innovation, excellence, quality and organisational capability across the tertiary education system, and promoting linkages with the wider community of stakeholders.  The Export Education Innovations Fund is also included."
"Ministry of Education "	"Education"	7757	7757	"Capability Development Funds"	"Non-Departmental Other Expenses"		"Education"	13415	2008	"Actuals"	"A"	"Assistance to Tertiary Education Organisations and others to develop their capability to contribute to the goals of the Tertiary Education Strategy and adapt to the changing environment - enhancing innovation, excellence, quality and organisational capability across the tertiary education system, and promoting linkages with the wider community of stakeholders.  The Export Education Innovations Fund is also included."
"Ministry of Education "	"Education"	8565	8565	"Performance Based Research Fund"	"Non-Departmental Other Expenses"		"Education"	200376	2007	"Actuals"	"A"	"Funding for research in the tertiary education sector to raise the quality and focus of research as well as provide incentives for improved investment in basic research."
"Ministry of Education "	"Education"	8565	8565	"Performance Based Research Fund"	"Non-Departmental Other Expenses"		"Education"	102960	2008	"Actuals"	"A"	"Funding for research in the tertiary education sector to raise the quality and focus of research as well as provide incentives for improved investment in basic research."
"Ministry of Education "	"Education"	8874	8874	"University of Auckland Starpath Project"	"Non-Departmental Other Expenses"		"Education"	1200	2007	"Actuals"	"A"	"Funding under the Partnerships for Excellence programme to support the Starpath initiatives at the University of Auckland."
"Ministry of Education "	"Education"	8874	8874	"University of Auckland Starpath Project"	"Non-Departmental Other Expenses"		"Education"	2416	2008	"Actuals"	"A"	"Funding under the Partnerships for Excellence programme to support the Starpath initiatives at the University of Auckland."
"Ministry of Education "	"Education"	8874	8874	"University of Auckland Starpath Project"	"Non-Departmental Other Expenses"		"Education"	1210	2011	"Estimated Actual"	"A"	"Funding under the Partnerships for Excellence programme to support the Starpath initiatives at the University of Auckland."
"Ministry of Education "	"Education"	8902	8902	"Remission of Fees"	"Non-Departmental Other Expenses"		"Education"	1273	2007	"Actuals"	"A"	"Payment to the New Zealand Qualifications Authority for student examination fees remitted in cases of hardship."
"Ministry of Education "	"Education"	8902	8902	"Remission of Fees"	"Non-Departmental Other Expenses"		"Education"	1288	2008	"Actuals"	"A"	"Payment to the New Zealand Qualifications Authority for student examination fees remitted in cases of hardship."
"Ministry of Education "	"Education"	8902	8902	"Remission of Fees"	"Non-Departmental Other Expenses"		"Education"	1288	2009	"Actuals"	"A"	"Payment to the New Zealand Qualifications Authority for student examination fees remitted in cases of hardship."
"Ministry of Education "	"Education"	8902	8902	"Remission of Fees"	"Non-Departmental Other Expenses"		"Education"	1288	2010	"Actuals"	"A"	"Payment to the New Zealand Qualifications Authority for student examination fees remitted in cases of hardship."
"Ministry of Education "	"Education"	8902	8902	"Remission of Fees"	"Non-Departmental Other Expenses"		"Education"	1288	2011	"Estimated Actual"	"A"	"Payment to the New Zealand Qualifications Authority for student examination fees remitted in cases of hardship."
"Ministry of Education "	"Education"	8902	8902	"Remission of Fees"	"Non-Departmental Other Expenses"		"Education"	1288	2012	"Main Estimates"	"A"	"Payment to the New Zealand Qualifications Authority for student examination fees remitted in cases of hardship."
"Ministry of Education "	"Education"	9173	9173	"Tertiary Education Organisation Component – Capability Fund"	"Non-Departmental Other Expenses"		"Education"	186006	2008	"Actuals"	"A"	"This appropriation is limited to financial contributions to the cost of tertiary education organisations maintaining and enhancing their capability to deliver quality and relevance, and to develop their specific and distinctive roles in the network of tertiary education provision."
"Ministry of Education "	"Education"	9173	9173	"Tertiary Education Organisation Component – Capability Fund"	"Non-Departmental Other Expenses"		"Education"	397940	2009	"Actuals"	"A"	"This appropriation is limited to financial contributions to the cost of tertiary education organisations maintaining and enhancing their capability to deliver quality and relevance, and to develop their specific and distinctive roles in the network of tertiary education provision."
"Ministry of Education "	"Education"	9173	9173	"Tertiary Education Organisation Component – Capability Fund"	"Non-Departmental Other Expenses"		"Education"	418103	2010	"Actuals"	"A"	"This appropriation is limited to financial contributions to the cost of tertiary education organisations maintaining and enhancing their capability to deliver quality and relevance, and to develop their specific and distinctive roles in the network of tertiary education provision."
"Ministry of Education "	"Education"	9173	9173	"Tertiary Education Organisation Component – Capability Fund"	"Non-Departmental Other Expenses"		"Education"	195456	2011	"Estimated Actual"	"A"	"This appropriation is limited to financial contributions to the cost of tertiary education organisations maintaining and enhancing their capability to deliver quality and relevance, and to develop their specific and distinctive roles in the network of tertiary education provision."
"Ministry of Education "	"Education"	9174	9174	"Performance Based Research Fund"	"Non-Departmental Other Expenses"		"Education"	117271	2008	"Actuals"	"A"	"This appropriation is limited to funding research and research-based teaching on the basis of measured research quality in tertiary education organisations."
"Ministry of Education "	"Education"	9174	9174	"Performance Based Research Fund"	"Non-Departmental Other Expenses"		"Education"	236114	2009	"Actuals"	"A"	"This appropriation is limited to funding research and research-based teaching on the basis of measured research quality in tertiary education organisations."
"Ministry of Education "	"Education"	9174	9174	"Performance Based Research Fund"	"Non-Departmental Other Expenses"		"Education"	244294	2010	"Actuals"	"A"	"This appropriation is limited to funding research and research-based teaching on the basis of measured research quality in tertiary education organisations."
"Ministry of Education "	"Education"	9174	9174	"Performance Based Research Fund"	"Non-Departmental Other Expenses"		"Education"	250000	2011	"Estimated Actual"	"A"	"This appropriation is limited to funding research and research-based teaching on the basis of measured research quality in tertiary education organisations."
"Ministry of Education "	"Education"	9189	9189	"Tertiary Education Grants and Other Funding"	"Non-Departmental Other Expenses"		"Education"	66258	2009	"Actuals"	"A"	"This appropriation is limited to providing contestable funding and miscellaneous funding to tertiary education organisations."
"Ministry of Education "	"Education"	9189	9189	"Tertiary Education Grants and Other Funding"	"Non-Departmental Other Expenses"		"Education"	60033	2010	"Actuals"	"A"	"This appropriation is limited to providing contestable funding and miscellaneous funding to tertiary education organisations."
"Ministry of Education "	"Education"	9189	9189	"Tertiary Education Grants and Other Funding"	"Non-Departmental Other Expenses"		"Education"	26440	2011	"Estimated Actual"	"A"	"This appropriation is limited to providing contestable funding and miscellaneous funding to tertiary education organisations."
"Ministry of Education "	"Education"	9368	9368	"Impairment of Loans to the Western Institute of Technology at Taranaki"	"Non-Departmental Other Expenses"		"Education"	1362	2008	"Actuals"	"A"	"This appropriation is limited to the impairment expenses associated with Crown decisions about the repayment of Crown loans previously made to the Western Institute of Technology at Taranaki."
"Ministry of Education "	"Education"	9396	9396	"Impairment of Loans to Tertiary Education Institutions"	"Non-Departmental Other Expenses"		"Education"	36	2009	"Actuals"	"A"	"This appropriation is limited to impairment expenses associated with Crown decisions about repayment of existing Crown loans to tertiary education institutions."
"Ministry of Education "	"Education"	10086	10086	"Support for Early Childhood Education Providers"	"Non-Departmental Other Expenses"		"Education"	12000	2011	"Estimated Actual"	"A"	"This appropriation is limited to assisting early childhood education services and other bodies corporate in the provision of child places for early childhood education. Priority will be given to providers in communities that have low levels of participation in early childhood education, to increase the number of child places and therefore availability of early childhood education. The criteria and selection process for each type of assistance are published by the Ministry of Education."
"Ministry of Education "	"Education"	10086	10086	"Support for Early Childhood Education Providers"	"Non-Departmental Other Expenses"		"Education"	22632	2012	"Main Estimates"	"A"	"This appropriation is limited to assisting early childhood education services and other bodies corporate in the provision of child places for early childhood education. Priority will be given to providers in communities that have low levels of participation in early childhood education, to increase the number of child places and therefore availability of early childhood education. The criteria and selection process for each type of assistance are published by the Ministry of Education."
"Ministry of Education "	"Education"	10087	10087	"Tertiary Education Institutions Merger Support"	"Non-Departmental Other Expenses"		"Education"	5000	2011	"Estimated Actual"	"A"	"This appropriation is limited to providing support toward the additional costs related to the merger of particular tertiary education institutions."
"Ministry of Education "	"Education"	10171	10171	"Support for International Students"	"Non-Departmental Other Expenses"		"Education"	2000	2011	"Estimated Actual"	"A"	"This appropriation is limited to provision of additional support to international students and their families affected by the Christchurch earthquake, including grants toward costs not covered by ACC, insurance or other support and refunds of tuition and other fees."
"Ministry of Education "	"Education"	280	280	"Schools Furniture and Equipment"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	16801	2007	"Actuals"	"A"	"Provides funds to schools for new furniture and equipment when capital works (including remodelling/upgrading of existing property and new school property) are approved."
"Ministry of Education "	"Education"	280	280	"Schools Furniture and Equipment"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	13984	2008	"Actuals"	"A"	"Provides funds to schools for new furniture and equipment when capital works (including remodelling/upgrading of existing property and new school property) are approved."
"Ministry of Education "	"Education"	280	280	"Schools Furniture and Equipment"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	18640	2009	"Actuals"	"A"	"Provides funds to schools for new furniture and equipment when capital works (including remodelling/upgrading of existing property and new school property) are approved."
"Ministry of Education "	"Education"	280	280	"Schools Furniture and Equipment"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	24603	2010	"Actuals"	"A"	"Provides funds to schools for new furniture and equipment when capital works (including remodelling/upgrading of existing property and new school property) are approved."
"Ministry of Education "	"Education"	280	280	"Schools Furniture and Equipment"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	23571	2011	"Estimated Actual"	"A"	"Provides funds to schools for new furniture and equipment when capital works (including remodelling/upgrading of existing property and new school property) are approved."
"Ministry of Education "	"Education"	280	280	"Schools Furniture and Equipment"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	18473	2012	"Main Estimates"	"A"	"Provides funds to schools for new furniture and equipment when capital works (including remodelling/upgrading of existing property and new school property) are approved."
"Ministry of Education "	"Education"	3909	3909	"School Support Project"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	485	2007	"Actuals"	"A"	"Capital costs of implementing approved school support and schooling improvement projects (other than costs related to school property assets)."
"Ministry of Education "	"Education"	3909	3909	"School Support Project"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	934	2008	"Actuals"	"A"	"Capital costs of implementing approved school support and schooling improvement projects (other than costs related to school property assets)."
"Ministry of Education "	"Education"	3909	3909	"School Support Project"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	1640	2009	"Actuals"	"A"	"Capital costs of implementing approved school support and schooling improvement projects (other than costs related to school property assets)."
"Ministry of Education "	"Education"	3909	3909	"School Support Project"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	580	2011	"Estimated Actual"	"A"	"Capital costs of implementing approved school support and schooling improvement projects (other than costs related to school property assets)."
"Ministry of Education "	"Education"	3909	3909	"School Support Project"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	1880	2012	"Main Estimates"	"A"	"Capital costs of implementing approved school support and schooling improvement projects (other than costs related to school property assets)."
"Ministry of Education "	"Education"	5352	5352	"Property Disposal Incentives Scheme"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	4991	2007	"Actuals"	"A"	"Payments to schools of a share of the proceeds from the sale of their surplus school property assets."
"Ministry of Education "	"Education"	5352	5352	"Property Disposal Incentives Scheme"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	3437	2008	"Actuals"	"A"	"Payments to schools of a share of the proceeds from the sale of their surplus school property assets."
"Ministry of Education "	"Education"	5352	5352	"Property Disposal Incentives Scheme"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	3300	2009	"Actuals"	"A"	"Payments to schools of a share of the proceeds from the sale of their surplus school property assets."
"Ministry of Education "	"Education"	5352	5352	"Property Disposal Incentives Scheme"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	3777	2010	"Actuals"	"A"	"Payments to schools of a share of the proceeds from the sale of their surplus school property assets."
"Ministry of Education "	"Education"	5352	5352	"Property Disposal Incentives Scheme"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	4375	2011	"Estimated Actual"	"A"	"Payments to schools of a share of the proceeds from the sale of their surplus school property assets."
"Ministry of Education "	"Education"	5352	5352	"Property Disposal Incentives Scheme"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	5511	2012	"Main Estimates"	"A"	"Payments to schools of a share of the proceeds from the sale of their surplus school property assets."
"Ministry of Education "	"Education"	7760	7760	"NZQA Technology"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	2340	2009	"Actuals"	"A"	"Investment in improved information systems for the New Zealand Qualifications Authority."
"Ministry of Education "	"Education"	7760	7760	"NZQA Technology"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	200	2010	"Actuals"	"A"	"Investment in improved information systems for the New Zealand Qualifications Authority."
"Ministry of Education "	"Education"	8563	8563	"Capability Development Funds - Capital"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	6222	2007	"Actuals"	"A"	"Support for Tertiary Education Organisations (TEOs) and others to contribute to the goals of the Tertiary Education Strategy (TES) and adapt to the changing environment through the innovation and development, and e-learning initiatives."
"Ministry of Education "	"Education"	8619	8619	"Teacher and Caretaker Housing"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	5997	2007	"Actuals"	"A"	"Provision for transferring ownership of teacher housing to school boards of trustees."
"Ministry of Education "	"Education"	8638	8638	"Otago University Leading Thinkers"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	9646	2007	"Actuals"	"A"	"Suspensory loan to fund the University of Otago Leading Thinkers programme under the Partnerships for Excellence facility."
"Ministry of Education "	"Education"	8638	8638	"Otago University Leading Thinkers"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	1600	2008	"Actuals"	"A"	"Suspensory loan to fund the University of Otago Leading Thinkers programme under the Partnerships for Excellence facility."
"Ministry of Education "	"Education"	8699	8699	"National Centre of Excellence in Wood Processing"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	1000	2007	"Actuals"	"A"	"Capital funding to complete the National Centre of Excellence in Wood Processing where a number of new programmes central to the Wood Processing Strategy will be delivered."
"Ministry of Education "	"Education"	8699	8699	"National Centre of Excellence in Wood Processing"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	1000	2008	"Actuals"	"A"	"Capital funding to complete the National Centre of Excellence in Wood Processing where a number of new programmes central to the Wood Processing Strategy will be delivered."
"Ministry of Education "	"Education"	8699	8699	"National Centre of Excellence in Wood Processing"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	1000	2010	"Actuals"	"A"	"Capital funding to complete the National Centre of Excellence in Wood Processing where a number of new programmes central to the Wood Processing Strategy will be delivered."
"Ministry of Education "	"Education"	8728	8728	"University of Auckland Institute for Innovation in Biotechnology"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	2000	2008	"Actuals"	"A"	"Suspensory loan under the Partnerships for Excellence programme for the establishment of a biotechnology and innovation centre for graduate training and research at the University of Auckland."
"Ministry of Education "	"Education"	8728	8728	"University of Auckland Institute for Innovation in Biotechnology"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	6000	2009	"Actuals"	"A"	"Suspensory loan under the Partnerships for Excellence programme for the establishment of a biotechnology and innovation centre for graduate training and research at the University of Auckland."
"Ministry of Education "	"Education"	8728	8728	"University of Auckland Institute for Innovation in Biotechnology"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	3000	2010	"Actuals"	"A"	"Suspensory loan under the Partnerships for Excellence programme for the establishment of a biotechnology and innovation centre for graduate training and research at the University of Auckland."
"Ministry of Education "	"Education"	8771	8771	"Western Institute of Technology at Taranaki"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	4820	2007	"Actuals"	"A"	"Financial assistance to the Western Institute of Technology at Taranaki to manage cash flow issues."
"Ministry of Education "	"Education"	8771	8771	"Western Institute of Technology at Taranaki"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	4350	2008	"Actuals"	"A"	"Financial assistance to the Western Institute of Technology at Taranaki to manage cash flow issues."
"Ministry of Education "	"Education"	8870	8870	"Rangahaua"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	413	2008	"Actuals"	"A"	"To facilitate the transfer of the Rangahaua programme from the former Wanganui Polytechnic to Te Wananga o Raukawa."
"Ministry of Education "	"Education"	8966	8966	"Agriculture and Life Sciences Partnership"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	8950	2007	"Actuals"	"A"	"A suspensory loan for an Agriculture and Life Sciences Partnership between Massey University and Lincoln University under the Partnerships for Excellence facility."
"Ministry of Education "	"Education"	8967	8967	"National Institute of Innovation in ICT"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	1000	2007	"Actuals"	"A"	"A suspensory loan for a National Institute of Innovation in Information and Communications Technology at the University of Canterbury under the Partnerships for Excellence programme."
"Ministry of Education "	"Education"	8967	8967	"National Institute of Innovation in ICT"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	4000	2008	"Actuals"	"A"	"A suspensory loan for a National Institute of Innovation in Information and Communications Technology at the University of Canterbury under the Partnerships for Excellence programme."
"Ministry of Education "	"Education"	8967	8967	"National Institute of Innovation in ICT"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	3700	2009	"Actuals"	"A"	"A suspensory loan for a National Institute of Innovation in Information and Communications Technology at the University of Canterbury under the Partnerships for Excellence programme."
"Ministry of Education "	"Education"	8968	8968	"Institute of Technology TradeFIT"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	880	2007	"Actuals"	"A"	"A suspensory loan for TradeFIT – a trades learning and innovation centre at the Christchurch Polytechnic Institute of Technology under the Partnerships for Excellence facility."
"Ministry of Education "	"Education"	8968	8968	"Institute of Technology TradeFIT"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	3814	2008	"Actuals"	"A"	"A suspensory loan for TradeFIT – a trades learning and innovation centre at the Christchurch Polytechnic Institute of Technology under the Partnerships for Excellence facility."
"Ministry of Education "	"Education"	8969	8969	"Future - Focused New Zealand Equine Industry"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	5000	2007	"Actuals"	"A"	"A suspensory loan under the Partnerships for Excellence facility for a Future-Focused New Zealand Equine Industry project at Massey University."
"Ministry of Education "	"Education"	8970	8970	"National Institute for Health Innovation"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	7000	2007	"Actuals"	"A"	"A suspensory loan under the Partnerships for Excellence facility for the National Institute for Health Innovation at the University of Auckland."
"Ministry of Education "	"Education"	8971	8971	"Centre for Plastics Innovation and Technology"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	5000	2007	"Actuals"	"A"	"A suspensory loan under the Partnerships for Excellence facility for a Centre for Plastics Innovation and Technology at the University of Auckland."
"Ministry of Education "	"Education"	8983	8983	"College of Education Mergers"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	8377	2007	"Actuals"	"A"	"Provision of support for transition and related costs of the mergers of Dunedin College of Education and University of Otago and Christchurch College of Education and University of Canterbury."
"Ministry of Education "	"Education"	8983	8983	"College of Education Mergers"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	1123	2008	"Actuals"	"A"	"Provision of support for transition and related costs of the mergers of Dunedin College of Education and University of Otago and Christchurch College of Education and University of Canterbury."
"Ministry of Education "	"Education"	8983	8983	"College of Education Mergers"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	5000	2010	"Actuals"	"A"	"Provision of support for transition and related costs of the mergers of Dunedin College of Education and University of Otago and Christchurch College of Education and University of Canterbury."
"Ministry of Education "	"Education"	8987	8987	"WelTec Financial Assistance"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	8600	2007	"Actuals"	"A"	"Restructuring of Crown assistance to Wellington Institute of Technology through the conversion of loans to equity to help secure its sustainability."
"Ministry of Education "	"Education"	8987	8987	"WelTec Financial Assistance"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	4150	2010	"Actuals"	"A"	"Restructuring of Crown assistance to Wellington Institute of Technology through the conversion of loans to equity to help secure its sustainability."
"Ministry of Education "	"Education"	9001	9001	"Tertiary Education Commission Restructuring"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	6750	2007	"Actuals"	"A"	"Capital Contribution towards the costs of restructuring the Tertiary Education Commission."
"Ministry of Education "	"Education"	9001	9001	"Tertiary Education Commission Restructuring"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	4085	2008	"Actuals"	"A"	"Capital Contribution towards the costs of restructuring the Tertiary Education Commission."
"Ministry of Education "	"Education"	9006	9006	"Investment in Te Wananga o Aotearoa"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	10000	2008	"Actuals"	"A"	"To provide a suspensory loan to Te Wananga o Aotearoa, to further invest in institutional capability, provide short term liquidity or funding support, meet Treaty of Waitangi settlement obligations or purchase essential assets to facilitate educational delivery."
"Ministry of Education "	"Education"	9006	9006	"Investment in Te Wananga o Aotearoa"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	5000	2009	"Actuals"	"A"	"To provide a suspensory loan to Te Wananga o Aotearoa, to further invest in institutional capability, provide short term liquidity or funding support, meet Treaty of Waitangi settlement obligations or purchase essential assets to facilitate educational delivery."
"Ministry of Education "	"Education"	9006	9006	"Investment in Te Wananga o Aotearoa"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	5000	2010	"Actuals"	"A"	"To provide a suspensory loan to Te Wananga o Aotearoa, to further invest in institutional capability, provide short term liquidity or funding support, meet Treaty of Waitangi settlement obligations or purchase essential assets to facilitate educational delivery."
"Ministry of Education "	"Education"	9007	9007	"UCOL Whanganui Campus Redevelopment"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	7200	2008	"Actuals"	"A"	"Crown support for the development of the Universal College of Learning Whanganui Campus."
"Ministry of Education "	"Education"	9007	9007	"UCOL Whanganui Campus Redevelopment"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	1000	2009	"Actuals"	"A"	"Crown support for the development of the Universal College of Learning Whanganui Campus."
"Ministry of Education "	"Education"	9051	9051	"Institutes of Technology and Polytechnics Distinctive Contributions"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	6000	2008	"Actuals"	"A"	"Capital funding to support strategic change in the Institutes of Technology and Polytechnics sector.  This includes capital funding for plant and equipment, information systems, and shared infrastructure amongst Institutes of Technology and Polytechnics to enhance the capability and distinctive contributions of the sector in line with the Tertiary Education Strategy."
"Ministry of Education "	"Education"	9051	9051	"Institutes of Technology and Polytechnics Distinctive Contributions"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	1700	2009	"Actuals"	"A"	"Capital funding to support strategic change in the Institutes of Technology and Polytechnics sector.  This includes capital funding for plant and equipment, information systems, and shared infrastructure amongst Institutes of Technology and Polytechnics to enhance the capability and distinctive contributions of the sector in line with the Tertiary Education Strategy."
"Ministry of Education "	"Education"	9051	9051	"Institutes of Technology and Polytechnics Distinctive Contributions"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	2600	2010	"Actuals"	"A"	"Capital funding to support strategic change in the Institutes of Technology and Polytechnics sector.  This includes capital funding for plant and equipment, information systems, and shared infrastructure amongst Institutes of Technology and Polytechnics to enhance the capability and distinctive contributions of the sector in line with the Tertiary Education Strategy."
"Ministry of Education "	"Education"	9054	9054	"Quality Reinvestment Programme"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	5020	2008	"Actuals"	"A"	"Support for Institutes of Technology and Polytechnics and Wananga through the Quality Reinvestment Programme to develop and maintain a high quality network of tertiary education provision aligned with the core roles of the sector as expressed in the Tertiary Education Strategy."
"Ministry of Education "	"Education"	9054	9054	"Quality Reinvestment Programme"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	14118	2009	"Actuals"	"A"	"Support for Institutes of Technology and Polytechnics and Wananga through the Quality Reinvestment Programme to develop and maintain a high quality network of tertiary education provision aligned with the core roles of the sector as expressed in the Tertiary Education Strategy."
